#   iter   convergence     efermi     ef_shift      lost      mag. mom          efree                etot              entropy
     46  0.55017208E-05   0.7363981   0.0000000   0.0000105  -0.0000000     -94172.26030705     -94172.26030705          0.00000000
     47  0.53343745E-05   0.7363981   0.0000000   0.0000102  -0.0000000     -94172.26030682     -94172.26030682          0.00000000
     48  0.43324648E-05   0.7363981   0.0000000   0.0000084  -0.0000000     -94172.26030554     -94172.26030554          0.00000000
     49  0.26295558E-05   0.7363981   0.0000000   0.0000052  -0.0000000     -94172.26030317     -94172.26030317          0.00000000
     50  0.22921808E-05   0.7363981   0.0000000   0.0000048  -0.0000000     -94172.26030282     -94172.26030282          0.00000000
     51  0.22690528E-05   0.7363981   0.0000000   0.0000046  -0.0000000     -94172.26030274     -94172.26030274          0.00000000
     52  0.22079518E-05   0.7363981   0.0000000   0.0000045  -0.0000000     -94172.26030266     -94172.26030266          0.00000000
     53  0.19313057E-05   0.7363981   0.0000000   0.0000040  -0.0000000     -94172.26030225     -94172.26030225          0.00000000
     54  0.12424784E-05   0.7363981   0.0000000   0.0000027  -0.0000000     -94172.26030129     -94172.26030129          0.00000000
     55  0.93342790E-06   0.7363981   0.0000000   0.0000020  -0.0000000     -94172.26030080     -94172.26030080          0.00000000
     56  0.95082965E-06   0.7363981   0.0000000   0.0000021  -0.0000000     -94172.26030085     -94172.26030085          0.00000000
     57  0.91861984E-06   0.7363981   0.0000000   0.0000020  -0.0000000     -94172.26030080     -94172.26030080          0.00000000
     58  0.85857748E-06   0.7363981   0.0000000   0.0000019  -0.0000000     -94172.26030071     -94172.26030071          0.00000000
     59  0.57398415E-06   0.7363981   0.0000000   0.0000013  -0.0000000     -94172.26030026     -94172.26030026          0.00000000
     60  0.40772741E-06   0.7363981   0.0000000   0.0000010  -0.0000000     -94172.26030002     -94172.26030002          0.00000000
     61  0.39154976E-06   0.7363981   0.0000000   0.0000009  -0.0000000     -94172.26029998     -94172.26029998          0.00000000
     62  0.38506304E-06   0.7363981   0.0000000   0.0000009  -0.0000000     -94172.26029997     -94172.26029997          0.00000000
     63  0.37007197E-06   0.7363981   0.0000000   0.0000009  -0.0000000     -94172.26029995     -94172.26029995          0.00000000
     64  0.28140234E-06   0.7363981   0.0000000   0.0000007  -0.0000000     -94172.26029980     -94172.26029980          0.00000000
     65  0.18089895E-06   0.7363981   0.0000000   0.0000004  -0.0000000     -94172.26029962     -94172.26029962          0.00000000
     66  0.17062383E-06   0.7363981   0.0000000   0.0000004  -0.0000000     -94172.26029961     -94172.26029961          0.00000000
     67  0.16699018E-06   0.7363981   0.0000000   0.0000004  -0.0000000     -94172.26029960     -94172.26029960          0.00000000
     68  0.16280436E-06   0.7363981   0.0000000   0.0000004  -0.0000000     -94172.26029960     -94172.26029960          0.00000000
     69  0.13367881E-06   0.7363981   0.0000000   0.0000003  -0.0000000     -94172.26029955     -94172.26029955          0.00000000
     70  0.89931760E-07   0.7363981   0.0000000   0.0000002  -0.0000000     -94172.26029948     -94172.26029948          0.00000000
# ----------------- calculation finished ----------------------
