# site betah h T M DoS(Ef) N Ef
sublattice 1 7.0 0.014179630770276662 319.826668137906
sublattice 2 7.700000000000001 0.011634236337242032 238.5585289946596
1 7.0 0.014161771434104442 319.4406705288042 42.45370372419243 497.0115377613356 220.47885973099264 0.6391829
2 7.0 0.014197593192734831 320.24868572675166 42.45370372419243 497.0115377613356 220.47885973099264 0.6391829
3 7.0 0.014161771433290903 319.4406705104535 42.45370372419243 497.0115377613356 220.47885973099264 0.6391829
4 7.0 0.014197593191959105 320.2486857092539 42.45370372419243 497.0115377613356 220.47885973099264 0.6391829
5 7.0 0.014197980410003593 320.25742001199137 42.45370372419243 497.0115377613356 220.47885973099264 0.6391829
6 7.0 0.014162020498739306 319.4462885671377 42.45370372419243 497.0115377613356 220.47885973099264 0.6391829
7 7.0 0.014197980409294425 320.257419995995 42.45370372419243 497.0115377613356 220.47885973099264 0.6391829
8 7.0 0.014162020498029747 319.44628855113245 42.45370372419243 497.0115377613356 220.47885973099264 0.6391829
9 7.0 0.014198472722295052 320.2685248799075 42.45370372419243 497.0115377613356 220.47885973099264 0.6391829
10 7.0 0.014162838411948668 319.4647378661292 42.45370372419243 497.0115377613356 220.47885973099264 0.6391829
11 7.0 0.014198472720951883 320.26852484961034 42.45370372419243 497.0115377613356 220.47885973099264 0.6391829
12 7.0 0.014162838411018822 319.46473784515507 42.45370372419243 497.0115377613356 220.47885973099264 0.6391829
13 7.0 0.014197208802127291 320.2400152022168 42.45370372419243 497.0115377613356 220.47885973099264 0.6391829
14 7.0 0.01416313785707452 319.47149231481353 42.45370372419243 497.0115377613356 220.47885973099264 0.6391829
15 7.0 0.014197208801406444 320.24001518595696 42.45370372419243 497.0115377613356 220.47885973099264 0.6391829
16 7.0 0.014163137856284045 319.47149229698323 42.45370372419243 497.0115377613356 220.47885973099264 0.6391829
17 7.0 0.014198202453002774 320.26242853842865 42.45370372419243 497.0115377613356 220.47885973099264 0.6391829
18 7.0 0.014160650024347817 319.41537539673686 42.45370372419243 497.0115377613356 220.47885973099264 0.6391829
19 7.0 0.014198202450828002 320.2624284893734 42.45370372419243 497.0115377613356 220.47885973099264 0.6391829
20 7.0 0.014160650023542899 319.4153753785807 42.45370372419243 497.0115377613356 220.47885973099264 0.6391829
21 7.0 0.014159847218523359 319.39726686761094 42.45370372419243 497.0115377613356 220.47885973099264 0.6391829
22 7.0 0.014195846224460415 320.2092801530223 42.45370372419243 497.0115377613356 220.47885973099264 0.6391829
23 7.0 0.014159847217467277 319.3972668437892 42.45370372419243 497.0115377613356 220.47885973099264 0.6391829
24 7.0 0.014195846223204344 320.2092801246896 42.45370372419243 497.0115377613356 220.47885973099264 0.6391829
25 7.700000000000001 0.011634394522950382 238.5743393850792 42.45370372419243 497.0115377613356 220.47885973099264 0.6391829
26 7.700000000000001 0.01163407815153367 238.56785188775055 42.45370372419243 497.0115377613356 220.47885973099264 0.6391829
27 0.0 5.390506089592546e-16 0.0 42.45370372419243 497.0115377613356 220.47885973099264 0.6391829
28 0.0 5.639407177234098e-16 0.0 42.45370372419243 497.0115377613356 220.47885973099264 0.6391829
29 0.0 -7.159849660733976e-16 0.0 42.45370372419243 497.0115377613356 220.47885973099264 0.6391829
30 0.0 -6.519039444117309e-16 0.0 42.45370372419243 497.0115377613356 220.47885973099264 0.6391829
31 0.0 -7.299788262234864e-16 0.0 42.45370372419243 497.0115377613356 220.47885973099264 0.6391829
32 0.0 -5.421504059107926e-16 0.0 42.45370372419243 497.0115377613356 220.47885973099264 0.6391829
33 0.0 -8.49409897243081e-16 0.0 42.45370372419243 497.0115377613356 220.47885973099264 0.6391829
