# site betah h T M DoS(Ef) N Ef
sublattice 1 7.0 -0.0009276805098567321 -20.924167305250897
sublattice 2 9.898265183267032e-07 1.9338567974423765e-11 3.08470060121584
1 7.0 -0.0009060647720445323 -20.437693355871982 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
2 7.0 -0.0009493197035064814 -21.413375276922682 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
3 7.0 -0.0009060647715873577 -20.437693345559698 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
4 7.0 -0.0009493197030132588 -21.413375265797278 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
5 7.0 -0.0009476593162708139 -21.375922671633642 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
6 7.0 -0.0009046916594157718 -20.40672067356945 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
7 7.0 -0.0009476593156038556 -21.375922656589363 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
8 7.0 -0.0009046916589589132 -20.406720663264288 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
9 7.0 -0.0009488076112910004 -21.401824244368026 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
10 7.0 -0.0009055440782127841 -20.42594830055763 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
11 7.0 -0.0009488076105436193 -21.40182422750969 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
12 7.0 -0.0009055440779032556 -20.425948293575733 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
13 7.0 -0.0009493723932118471 -21.414563773222266 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
14 7.0 -0.0009090676976234085 -20.505428987565903 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
15 7.0 -0.0009493723928637296 -21.414563765369923 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
16 7.0 -0.0009090676972872609 -20.505428979983567 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
17 7.0 -0.000947946259036904 -21.382395112062365 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
18 7.0 -0.0009065703291596861 -20.44909697732914 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
19 7.0 -0.0009479462585180886 -21.382395100359673 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
20 7.0 -0.0009065703288695051 -20.44909697078365 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
21 7.0 -0.0009075650128039251 -20.471533606437948 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
22 7.0 -0.0009495572885024364 -21.418734376510308 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
23 7.0 -0.0009075650120012066 -20.471533588331386 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
24 7.0 -0.0009495572883323365 -21.418734372673434 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
25 9.898265183267032e-07 3.745048514970658e-11 5.974052354212488 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
26 9.898265183267032e-07 1.2266666291705543e-12 0.19567625441525438 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
27 0.0 -2.017067318320307e-14 0.0 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
28 0.0 -2.018941482588758e-14 0.0 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
29 0.0 3.094606062528476e-13 0.0 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
30 0.0 3.0966473685774214e-13 0.0 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
31 0.0 3.0948551882633903e-13 0.0 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
32 0.0 3.0952654157266753e-13 0.0 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
33 0.0 3.0968171367767646e-13 0.0 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
34 0.0 3.094745861972907e-13 0.0 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
35 0.0 3.0977829561515707e-13 0.0 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
36 0.0 3.0955746517694997e-13 0.0 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
37 0.0 3.0939682299878667e-13 0.0 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
38 0.0 3.096562734112844e-13 0.0 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
39 0.0 3.0949952875514727e-13 0.0 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
40 0.0 3.0972378990704084e-13 0.0 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
41 0.0 -3.2601891692328677e-13 0.0 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
42 0.0 -3.2578663379000877e-13 0.0 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
43 0.0 -3.258829138230286e-13 0.0 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
44 0.0 -3.25851232946906e-13 0.0 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
45 0.0 -3.2539351352849806e-13 0.0 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
46 0.0 -3.260823655724967e-13 0.0 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
47 0.0 -3.2538418745002223e-13 0.0 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
48 0.0 -3.259836300047308e-13 0.0 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
49 0.0 -3.2600506879907803e-13 0.0 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
50 0.0 -3.257019140810921e-13 0.0 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
51 0.0 -3.2609358754457337e-13 0.0 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
52 0.0 -3.2560857268609744e-13 0.0 27.13465342250327 648.1822534147752 214.30573320987386 0.7307465724700893
