# site betah h T M DoS(Ef) N Ef
sublattice 1 5.0 0.004078090634496348 128.77591987946278
sublattice 2 3.2526283643532974 0.002666961654372426 129.45836508660514
1 5.0 0.004075411616198688 128.69810217912845 38.03070300732468 558.877222511425 214.480628954185 0.652253780822384
2 5.0 0.004081627982297766 128.89440983288867 38.03070300732468 558.877222511425 214.480628954185 0.652253780822384
3 5.0 0.00407541161568995 128.6981021630629 38.03070300732468 558.877222511425 214.480628954185 0.652253780822384
4 5.0 0.004081627982008422 128.8944098237515 38.03070300732468 558.877222511425 214.480628954185 0.652253780822384
5 5.0 0.004081513302306884 128.89078833396326 38.03070300732468 558.877222511425 214.480628954185 0.652253780822384
6 5.0 0.004075328024116875 128.69546241017065 38.03070300732468 558.877222511425 214.480628954185 0.652253780822384
7 5.0 0.004081513302492597 128.89078833982794 38.03070300732468 558.877222511425 214.480628954185 0.652253780822384
8 5.0 0.004075328022530355 128.69546236006968 38.03070300732468 558.877222511425 214.480628954185 0.652253780822384
9 5.0 0.004081999798780646 128.9061514877549 38.03070300732468 558.877222511425 214.480628954185 0.652253780822384
10 5.0 0.004075554621162994 128.70261815621674 38.03070300732468 558.877222511425 214.480628954185 0.652253780822384
11 5.0 0.004081999798602977 128.90615148214425 38.03070300732468 558.877222511425 214.480628954185 0.652253780822384
12 5.0 0.004075554620793155 128.70261814453752 38.03070300732468 558.877222511425 214.480628954185 0.652253780822384
13 5.0 0.004081821539446486 128.90052220633302 38.03070300732468 558.877222511425 214.480628954185 0.652253780822384
14 5.0 0.004073334535692447 128.63250970698178 38.03070300732468 558.877222511425 214.480628954185 0.652253780822384
15 5.0 0.00408182153918345 128.90052219802655 38.03070300732468 558.877222511425 214.480628954185 0.652253780822384
16 5.0 0.00407333453528821 128.63250969421625 38.03070300732468 558.877222511425 214.480628954185 0.652253780822384
17 5.0 0.0040816371006634575 128.89469778348115 38.03070300732468 558.877222511425 214.480628954185 0.652253780822384
18 5.0 0.00407396598634637 128.65245039286367 38.03070300732468 558.877222511425 214.480628954185 0.652253780822384
19 5.0 0.004081637099768881 128.89469775523114 38.03070300732468 558.877222511425 214.480628954185 0.652253780822384
20 5.0 0.004073965985916492 128.65245037928847 38.03070300732468 558.877222511425 214.480628954185 0.652253780822384
21 5.0 0.0040733745963811435 128.6337747904093 38.03070300732468 558.877222511425 214.480628954185 0.652253780822384
22 5.0 0.004081518513266439 128.8909528921662 38.03070300732468 558.877222511425 214.480628954185 0.652253780822384
23 5.0 0.004073374596185632 128.63377478423521 38.03070300732468 558.877222511425 214.480628954185 0.652253780822384
24 5.0 0.0040815185127900805 128.89095287712317 38.03070300732468 558.877222511425 214.480628954185 0.652253780822384
25 3.2526283643532974 0.0026665276805592037 129.4441177925426 38.03070300732468 558.877222511425 214.480628954185 0.652253780822384
26 3.2526283643532974 0.002667395628185777 129.48625150696228 38.03070300732468 558.877222511425 214.480628954185 0.652253780822384
27 0.0 -5.203212295344916e-16 0.0 38.03070300732468 558.877222511425 214.480628954185 0.652253780822384
28 0.0 -5.180890129419622e-16 0.0 38.03070300732468 558.877222511425 214.480628954185 0.652253780822384
29 0.0 -1.8701752812060697e-15 0.0 38.03070300732468 558.877222511425 214.480628954185 0.652253780822384
30 0.0 -1.9131859609039354e-15 0.0 38.03070300732468 558.877222511425 214.480628954185 0.652253780822384
