#   iter   convergence     efermi     ef_shift      lost      mag. mom          efree                etot              entropy
      0  0.24280601E-04   0.7106370   0.0000000   0.0000207   0.0000000     -94172.12593513     -94172.12593513          0.00000000
      1  0.24264204E-04   0.7106370   0.0000000   0.0000201   0.0000000     -94172.12593468     -94172.12593468          0.00000000
      2  0.24244303E-04   0.7106370   0.0000000   0.0000168   0.0000000     -94172.12593235     -94172.12593235          0.00000000
      3  0.24224220E-04   0.7106370   0.0000000   0.0000106   0.0000000     -94172.12592795     -94172.12592795          0.00000000
      4  0.24238608E-04   0.7106370   0.0000000   0.0000116   0.0000000     -94172.12592866     -94172.12592866          0.00000000
      5  0.24126048E-04   0.7106370   0.0000000   0.0000023   0.0000000     -94172.12592205     -94172.12592205          0.00000000
      6  0.24068306E-04   0.7106370  -0.0000000  -0.0000033   0.0000000     -94172.12591804     -94172.12591804          0.00000000
      7  0.23408709E-04   0.7106370  -0.0000001  -0.0000431   0.0000000     -94172.12588971     -94172.12588971          0.00000000
      8  0.23233964E-04   0.7106370  -0.0000001  -0.0000552   0.0000000     -94172.12588112     -94172.12588112          0.00000000
      9  0.21641905E-04   0.7106370  -0.0000001  -0.0000835   0.0000000     -94172.12586098     -94172.12586098          0.00000000
     10  0.21309771E-04   0.7106370  -0.0000002  -0.0000930   0.0000000     -94172.12585424     -94172.12585424          0.00000000
     11  0.20705724E-04   0.7106370  -0.0000001  -0.0000800   0.0000000     -94172.12586345     -94172.12586345          0.00000000
     12  0.20089723E-04   0.7106370  -0.0000001  -0.0000502   0.0000000     -94172.12588457     -94172.12588457          0.00000000
     13  0.19945791E-04   0.7106370  -0.0000001  -0.0000393   0.0000000     -94172.12589237     -94172.12589237          0.00000000
     14  0.18830235E-04   0.7106370   0.0000001   0.0000310   0.0000000     -94172.12594230     -94172.12594230          0.00000000
     15  0.17304064E-04   0.7106371   0.0000004   0.0002106  -0.0000000     -94172.12606993     -94172.12606993          0.00000000
     16  0.17148111E-04   0.7106371   0.0000004   0.0002195  -0.0000000     -94172.12607628     -94172.12607628          0.00000000
     17  0.13111860E-04   0.7106372   0.0000003   0.0001842  -0.0000000     -94172.12605115     -94172.12605115          0.00000000
     18  0.52290761E-05   0.7106373   0.0000002   0.0001162  -0.0000000     -94172.12600276     -94172.12600276          0.00000000
     19  0.48093082E-05   0.7106374   0.0000002   0.0001068  -0.0000000     -94172.12599609     -94172.12599609          0.00000000
     20  0.45867528E-05   0.7106374   0.0000001   0.0000840  -0.0000000     -94172.12597985     -94172.12597985          0.00000000
     21  0.24399695E-05   0.7106374   0.0000001   0.0000597  -0.0000000     -94172.12596258     -94172.12596258          0.00000000
     22  0.21748460E-05   0.7106374   0.0000001   0.0000513  -0.0000000     -94172.12595666     -94172.12595666          0.00000000
     23  0.18735739E-05   0.7106374   0.0000001   0.0000442  -0.0000000     -94172.12595159     -94172.12595159          0.00000000
     24  0.14545016E-05   0.7106374   0.0000001   0.0000326  -0.0000000     -94172.12594337     -94172.12594337          0.00000000
     25  0.11510738E-05   0.7106374   0.0000000   0.0000249  -0.0000000     -94172.12593789     -94172.12593789          0.00000000
     26  0.10305484E-05   0.7106374   0.0000000   0.0000222  -0.0000000     -94172.12593597     -94172.12593597          0.00000000
     27  0.96651563E-06   0.7106374   0.0000000   0.0000214  -0.0000000     -94172.12593540     -94172.12593540          0.00000000
     28  0.91524197E-06   0.7106374   0.0000000   0.0000205  -0.0000000     -94172.12593474     -94172.12593474          0.00000000
     29  0.84688976E-06   0.7106374   0.0000000   0.0000192  -0.0000000     -94172.12593380     -94172.12593380          0.00000000
     30  0.76996731E-06   0.7106374   0.0000000   0.0000174  -0.0000000     -94172.12593253     -94172.12593253          0.00000000
     31  0.71306994E-06   0.7106374   0.0000000   0.0000161  -0.0000000     -94172.12593163     -94172.12593163          0.00000000
     32  0.67858083E-06   0.7106374   0.0000000   0.0000154  -0.0000000     -94172.12593109     -94172.12593109          0.00000000
     33  0.65230103E-06   0.7106374   0.0000000   0.0000148  -0.0000000     -94172.12593067     -94172.12593067          0.00000000
     34  0.62278899E-06   0.7106374   0.0000000   0.0000140  -0.0000000     -94172.12593013     -94172.12593013          0.00000000
     35  0.58236250E-06   0.7106374   0.0000000   0.0000129  -0.0000000     -94172.12592937     -94172.12592937          0.00000000
     36  0.54130340E-06   0.7106374   0.0000000   0.0000119  -0.0000000     -94172.12592861     -94172.12592861          0.00000000
     37  0.51276538E-06   0.7106374   0.0000000   0.0000112  -0.0000000     -94172.12592816     -94172.12592816          0.00000000
     38  0.49306909E-06   0.7106374   0.0000000   0.0000108  -0.0000000     -94172.12592786     -94172.12592786          0.00000000
     39  0.47436926E-06   0.7106374   0.0000000   0.0000104  -0.0000000     -94172.12592755     -94172.12592755          0.00000000
     40  0.44924015E-06   0.7106374   0.0000000   0.0000097  -0.0000000     -94172.12592708     -94172.12592708          0.00000000
     41  0.41884298E-06   0.7106374   0.0000000   0.0000090  -0.0000000     -94172.12592653     -94172.12592653          0.00000000
     42  0.39450466E-06   0.7106374   0.0000000   0.0000084  -0.0000000     -94172.12592613     -94172.12592613          0.00000000
     43  0.37830746E-06   0.7106374   0.0000000   0.0000081  -0.0000000     -94172.12592589     -94172.12592589          0.00000000
     44  0.36470710E-06   0.7106374   0.0000000   0.0000078  -0.0000000     -94172.12592568     -94172.12592568          0.00000000
     45  0.34820014E-06   0.7106374   0.0000000   0.0000073  -0.0000000     -94172.12592539     -94172.12592539          0.00000000
     46  0.32589019E-06   0.7106374   0.0000000   0.0000068  -0.0000000     -94172.12592499     -94172.12592499          0.00000000
     47  0.30543411E-06   0.7106374   0.0000000   0.0000063  -0.0000000     -94172.12592465     -94172.12592465          0.00000000
     48  0.29156422E-06   0.7106374   0.0000000   0.0000060  -0.0000000     -94172.12592445     -94172.12592445          0.00000000
     49  0.28110187E-06   0.7106374   0.0000000   0.0000058  -0.0000000     -94172.12592429     -94172.12592429          0.00000000
     50  0.26982348E-06   0.7106374   0.0000000   0.0000055  -0.0000000     -94172.12592411     -94172.12592411          0.00000000
     51  0.25414779E-06   0.7106374   0.0000000   0.0000052  -0.0000000     -94172.12592384     -94172.12592384          0.00000000
     52  0.23742225E-06   0.7106374   0.0000000   0.0000048  -0.0000000     -94172.12592355     -94172.12592355          0.00000000
     53  0.22534036E-06   0.7106374   0.0000000   0.0000045  -0.0000000     -94172.12592338     -94172.12592338          0.00000000
     54  0.21692603E-06   0.7106374   0.0000000   0.0000044  -0.0000000     -94172.12592326     -94172.12592326          0.00000000
     55  0.20892816E-06   0.7106374   0.0000000   0.0000042  -0.0000000     -94172.12592314     -94172.12592314          0.00000000
     56  0.19825227E-06   0.7106374   0.0000000   0.0000039  -0.0000000     -94172.12592296     -94172.12592296          0.00000000
     57  0.18513809E-06   0.7106374   0.0000000   0.0000036  -0.0000000     -94172.12592274     -94172.12592274          0.00000000
     58  0.17467837E-06   0.7106374   0.0000000   0.0000034  -0.0000000     -94172.12592258     -94172.12592258          0.00000000
     59  0.16759304E-06   0.7106374   0.0000000   0.0000033  -0.0000000     -94172.12592249     -94172.12592249          0.00000000
     60  0.16172621E-06   0.7106374   0.0000000   0.0000031  -0.0000000     -94172.12592240     -94172.12592240          0.00000000
     61  0.15444688E-06   0.7106374   0.0000000   0.0000030  -0.0000000     -94172.12592229     -94172.12592229          0.00000000
     62  0.14475808E-06   0.7106374   0.0000000   0.0000028  -0.0000000     -94172.12592213     -94172.12592213          0.00000000
     63  0.13584014E-06   0.7106374   0.0000000   0.0000026  -0.0000000     -94172.12592199     -94172.12592199          0.00000000
     64  0.12973458E-06   0.7106374   0.0000000   0.0000025  -0.0000000     -94172.12592191     -94172.12592191          0.00000000
     65  0.12513151E-06   0.7106374   0.0000000   0.0000024  -0.0000000     -94172.12592185     -94172.12592185          0.00000000
     66  0.12018804E-06   0.7106374   0.0000000   0.0000023  -0.0000000     -94172.12592178     -94172.12592178          0.00000000
     67  0.11336344E-06   0.7106374   0.0000000   0.0000021  -0.0000000     -94172.12592167     -94172.12592167          0.00000000
     68  0.10593573E-06   0.7106374   0.0000000   0.0000020  -0.0000000     -94172.12592155     -94172.12592155          0.00000000
     69  0.10062040E-06   0.7106374   0.0000000   0.0000019  -0.0000000     -94172.12592148     -94172.12592148          0.00000000
     70  0.96907518E-07   0.7106374   0.0000000   0.0000018  -0.0000000     -94172.12592144     -94172.12592144          0.00000000
# ----------------- calculation finished ----------------------
