#   iter   convergence     efermi     ef_shift      lost      mag. mom          efree                etot              entropy
      0  0.19834164E-05   0.6391829   0.0000000   0.0000046   0.0000000     -94171.66374182     -94171.66374182          0.00000000
      1  0.14255401E-05   0.6391829   0.0000000   0.0000043   0.0000000     -94171.66374165     -94171.66374165          0.00000000
      2  0.97545986E-06   0.6391829   0.0000000   0.0000038   0.0000000     -94171.66374137     -94171.66374137          0.00000000
      3  0.73407059E-06   0.6391829   0.0000000   0.0000033   0.0000000     -94171.66374104     -94171.66374104          0.00000000
      4  0.48793315E-06   0.6391829   0.0000000   0.0000027   0.0000000     -94171.66374066     -94171.66374066          0.00000000
      5  0.37053904E-06   0.6391829   0.0000000   0.0000022   0.0000000     -94171.66374032     -94171.66374032          0.00000000
      6  0.26230137E-06   0.6391829   0.0000000   0.0000009   0.0000000     -94171.66373947     -94171.66373947          0.00000000
      7  0.17820178E-06   0.6391829  -0.0000000  -0.0000006   0.0000000     -94171.66373851     -94171.66373851          0.00000000
      8  0.14824916E-06   0.6391829  -0.0000000  -0.0000007   0.0000000     -94171.66373845     -94171.66373845          0.00000000
      9  0.11621898E-06   0.6391829  -0.0000000  -0.0000008   0.0000000     -94171.66373840     -94171.66373840          0.00000000
     10  0.11113505E-06   0.6391829  -0.0000000  -0.0000008   0.0000000     -94171.66373842     -94171.66373842          0.00000000
     11  0.73497553E-07   0.6391829  -0.0000000  -0.0000003   0.0000000     -94171.66373874     -94171.66373874          0.00000000
# ----------------- calculation finished ----------------------
