#   iter   convergence     efermi     ef_shift      lost      mag. mom          efree                etot              entropy
      0  0.14881409E-05   0.6621248   0.0000000   0.0000099  -0.0000000     -94171.82682020     -94171.82682020          0.00000000
      1  0.11958163E-05   0.6621248   0.0000000   0.0000096  -0.0000000     -94171.82681996     -94171.82681996          0.00000000
      2  0.10051985E-05   0.6621248   0.0000000   0.0000089  -0.0000000     -94171.82681951     -94171.82681951          0.00000000
      3  0.85825116E-06   0.6621248   0.0000000   0.0000079  -0.0000000     -94171.82681886     -94171.82681886          0.00000000
      4  0.81659417E-06   0.6621248   0.0000000   0.0000075  -0.0000000     -94171.82681857     -94171.82681857          0.00000000
      5  0.63155681E-06   0.6621248   0.0000000   0.0000049  -0.0000000     -94171.82681683     -94171.82681683          0.00000000
      6  0.56013030E-06   0.6621248   0.0000000   0.0000029  -0.0000000     -94171.82681557     -94171.82681557          0.00000000
      7  0.50098312E-06   0.6621248   0.0000000   0.0000002  -0.0000000     -94171.82681376     -94171.82681376          0.00000000
      8  0.47342154E-06   0.6621248  -0.0000000  -0.0000004  -0.0000000     -94171.82681337     -94171.82681337          0.00000000
      9  0.41088911E-06   0.6621248  -0.0000000  -0.0000019  -0.0000000     -94171.82681239     -94171.82681239          0.00000000
     10  0.40404385E-06   0.6621248  -0.0000000  -0.0000019  -0.0000000     -94171.82681236     -94171.82681236          0.00000000
     11  0.32422956E-06   0.6621249  -0.0000000  -0.0000012  -0.0000000     -94171.82681285     -94171.82681285          0.00000000
     12  0.26206435E-06   0.6621249  -0.0000000  -0.0000001  -0.0000000     -94171.82681358     -94171.82681358          0.00000000
     13  0.25695285E-06   0.6621249  -0.0000000  -0.0000000  -0.0000000     -94171.82681361     -94171.82681361          0.00000000
     14  0.20062052E-06   0.6621249   0.0000000   0.0000002  -0.0000000     -94171.82681377     -94171.82681377          0.00000000
     15  0.16833869E-06   0.6621249   0.0000000   0.0000003  -0.0000000     -94171.82681382     -94171.82681382          0.00000000
     16  0.16417404E-06   0.6621249   0.0000000   0.0000003  -0.0000000     -94171.82681381     -94171.82681381          0.00000000
     17  0.12865903E-06   0.6621249  -0.0000000  -0.0000003  -0.0000000     -94171.82681340     -94171.82681340          0.00000000
     18  0.10511244E-06   0.6621249  -0.0000000  -0.0000007  -0.0000000     -94171.82681315     -94171.82681315          0.00000000
     19  0.88858214E-07   0.6621249  -0.0000000  -0.0000008   0.0000000     -94171.82681307     -94171.82681307          0.00000000
# ----------------- calculation finished ----------------------
