# type name nspin lmmax     conc            zat              qws             mws            ((idosws(lm,ns),lm=1,lmmax),ns=1,nspin)
    1   Fe    2    16  0.44000000D+00  0.26000000D+02  0.26096725D+02  0.20055682D+01  0.35009241D+00  0.14146235D+00  0.13333315D+00  0.12847587D+00  0.84468487D+00  0.84223029D+00  0.85416936D+00  0.85951859D+00  0.85408135D+00  0.60320132D-02  0.59361472D-02  0.80358312D-02  0.49087233D-02  0.64880439D-02  0.55702234D-02  0.61273029D-02  0.33439558D+00  0.13501465D+00  0.12747607D+00  0.12204681D+00  0.45268024D+00  0.45949061D+00  0.44524889D+00  0.46202599D+00  0.46458495D+00  0.59795183D-02  0.58246595D-02  0.80027628D-02  0.48125545D-02  0.64216565D-02  0.54915618D-02  0.60817771D-02
    2   Fe    2    16  0.44000000D+00  0.26000000D+02  0.26096725D+02 -0.20055682D+01  0.33439558D+00  0.13501465D+00  0.12747607D+00  0.12204681D+00  0.45268024D+00  0.45949061D+00  0.44524889D+00  0.46202599D+00  0.46458495D+00  0.59795183D-02  0.58246595D-02  0.80027628D-02  0.48125545D-02  0.64216565D-02  0.54915618D-02  0.60817771D-02  0.35009241D+00  0.14146235D+00  0.13333315D+00  0.12847587D+00  0.84468487D+00  0.84223029D+00  0.85416936D+00  0.85951859D+00  0.85408135D+00  0.60320132D-02  0.59361472D-02  0.80358312D-02  0.49087233D-02  0.64880439D-02  0.55702234D-02  0.61273029D-02
    3   Si    2    16  0.12000000D+00  0.14000000D+02  0.13952395D+02  0.47961635D-13  0.67124966D+00  0.35823787D+00  0.34509486D+00  0.33673070D+00  0.45261397D-01  0.46618485D-01  0.45252130D-01  0.39946856D-01  0.41832247D-01  0.64386902D-02  0.63254271D-02  0.85858436D-02  0.51755047D-02  0.69009437D-02  0.60265663D-02  0.65204162D-02  0.67124966D+00  0.35823787D+00  0.34509486D+00  0.33673070D+00  0.45261397D-01  0.46618485D-01  0.45252130D-01  0.39946856D-01  0.41832247D-01  0.64386902D-02  0.63254271D-02  0.85858436D-02  0.51755047D-02  0.69009437D-02  0.60265663D-02  0.65204162D-02
    4   Fe    2    16  0.44000000D+00  0.26000000D+02  0.26096725D+02  0.20055682D+01  0.35009241D+00  0.14146235D+00  0.13333315D+00  0.12847587D+00  0.84468487D+00  0.84223029D+00  0.85416936D+00  0.85951859D+00  0.85408135D+00  0.60320132D-02  0.59361472D-02  0.80358312D-02  0.49087233D-02  0.64880439D-02  0.55702234D-02  0.61273029D-02  0.33439558D+00  0.13501465D+00  0.12747607D+00  0.12204681D+00  0.45268024D+00  0.45949061D+00  0.44524889D+00  0.46202599D+00  0.46458495D+00  0.59795183D-02  0.58246595D-02  0.80027628D-02  0.48125545D-02  0.64216565D-02  0.54915618D-02  0.60817771D-02
    5   Fe    2    16  0.44000000D+00  0.26000000D+02  0.26096725D+02 -0.20055682D+01  0.33439558D+00  0.13501465D+00  0.12747607D+00  0.12204681D+00  0.45268024D+00  0.45949061D+00  0.44524889D+00  0.46202599D+00  0.46458495D+00  0.59795183D-02  0.58246595D-02  0.80027628D-02  0.48125545D-02  0.64216565D-02  0.54915618D-02  0.60817771D-02  0.35009241D+00  0.14146235D+00  0.13333315D+00  0.12847587D+00  0.84468487D+00  0.84223029D+00  0.85416936D+00  0.85951859D+00  0.85408135D+00  0.60320132D-02  0.59361472D-02  0.80358312D-02  0.49087233D-02  0.64880439D-02  0.55702234D-02  0.61273029D-02
    6   Si    2    16  0.12000000D+00  0.14000000D+02  0.13952395D+02 -0.88817842D-14  0.67124966D+00  0.35823787D+00  0.34509486D+00  0.33673070D+00  0.45261397D-01  0.46618485D-01  0.45252130D-01  0.39946856D-01  0.41832247D-01  0.64386902D-02  0.63254271D-02  0.85858436D-02  0.51755047D-02  0.69009437D-02  0.60265663D-02  0.65204162D-02  0.67124966D+00  0.35823787D+00  0.34509486D+00  0.33673070D+00  0.45261397D-01  0.46618485D-01  0.45252130D-01  0.39946856D-01  0.41832247D-01  0.64386902D-02  0.63254271D-02  0.85858436D-02  0.51755047D-02  0.69009437D-02  0.60265663D-02  0.65204162D-02
    7   Fe    2    16  0.44000000D+00  0.26000000D+02  0.26096725D+02  0.20055682D+01  0.35009241D+00  0.14146235D+00  0.13333315D+00  0.12847587D+00  0.84468487D+00  0.84223029D+00  0.85416936D+00  0.85951859D+00  0.85408135D+00  0.60320132D-02  0.59361472D-02  0.80358312D-02  0.49087233D-02  0.64880439D-02  0.55702234D-02  0.61273029D-02  0.33439558D+00  0.13501465D+00  0.12747607D+00  0.12204681D+00  0.45268024D+00  0.45949061D+00  0.44524889D+00  0.46202599D+00  0.46458495D+00  0.59795183D-02  0.58246595D-02  0.80027628D-02  0.48125545D-02  0.64216565D-02  0.54915618D-02  0.60817771D-02
    8   Fe    2    16  0.44000000D+00  0.26000000D+02  0.26096725D+02 -0.20055682D+01  0.33439558D+00  0.13501465D+00  0.12747607D+00  0.12204681D+00  0.45268024D+00  0.45949061D+00  0.44524889D+00  0.46202599D+00  0.46458495D+00  0.59795183D-02  0.58246595D-02  0.80027628D-02  0.48125545D-02  0.64216565D-02  0.54915618D-02  0.60817771D-02  0.35009241D+00  0.14146235D+00  0.13333315D+00  0.12847587D+00  0.84468487D+00  0.84223029D+00  0.85416936D+00  0.85951859D+00  0.85408135D+00  0.60320132D-02  0.59361472D-02  0.80358312D-02  0.49087233D-02  0.64880439D-02  0.55702234D-02  0.61273029D-02
    9   Si    2    16  0.12000000D+00  0.14000000D+02  0.13952395D+02  0.39968029D-13  0.67124966D+00  0.35823787D+00  0.34509486D+00  0.33673070D+00  0.45261397D-01  0.46618485D-01  0.45252130D-01  0.39946856D-01  0.41832247D-01  0.64386902D-02  0.63254272D-02  0.85858436D-02  0.51755047D-02  0.69009437D-02  0.60265663D-02  0.65204162D-02  0.67124966D+00  0.35823787D+00  0.34509486D+00  0.33673070D+00  0.45261397D-01  0.46618485D-01  0.45252130D-01  0.39946856D-01  0.41832247D-01  0.64386902D-02  0.63254272D-02  0.85858436D-02  0.51755047D-02  0.69009437D-02  0.60265663D-02  0.65204162D-02
   10   Fe    2    16  0.44000000D+00  0.26000000D+02  0.26096725D+02  0.20055682D+01  0.35009241D+00  0.14146235D+00  0.13333315D+00  0.12847587D+00  0.84468487D+00  0.84223029D+00  0.85416936D+00  0.85951859D+00  0.85408135D+00  0.60320132D-02  0.59361472D-02  0.80358312D-02  0.49087233D-02  0.64880439D-02  0.55702234D-02  0.61273029D-02  0.33439558D+00  0.13501465D+00  0.12747607D+00  0.12204681D+00  0.45268024D+00  0.45949061D+00  0.44524889D+00  0.46202599D+00  0.46458495D+00  0.59795183D-02  0.58246595D-02  0.80027628D-02  0.48125545D-02  0.64216565D-02  0.54915618D-02  0.60817771D-02
