# eF kT eimax detop ebot npdec dos
0.7063963193462874 0.0018999868169011377 2.002 0.22 -0.661 10 False
59
-0.661 0.005968984625894067 0.15 32.071
-0.661 0.007514506428146743 0.15 32.071
-0.661 0.009460203099484556 0.15 32.071
-0.661 0.01190969008267505 0.15 32.071
-0.661 0.014993411491672591 0.15 32.071
-0.661 0.01887558673635332 0.15 32.07
-0.661 0.02376295580492013 0.15 32.07
-0.661 0.029915788922155673 0.15 32.069
-0.661 0.037661746887972206 0.15 32.068
-0.661 0.04741333020982809 0.15 32.067
-0.661 0.05968984625894067 0.15 32.065
-0.661 0.07514506428146743 0.15 32.061
-0.661 0.09460203099484557 0.15 32.055
-0.661 0.11909690082675049 0.15 32.047000000000004
-0.661 0.14993411491672598 0.15 32.033
-0.661 0.1887558673635332 0.15 32.011
-0.661 0.23762955804920127 0.15 31.978
-0.661 0.2991578892215567 0.15 31.929000000000002
-0.661 0.3766174688797221 0.15 31.856
-0.661 0.47413330209828114 0.15 31.754
-0.661 0.5968984625894067 0.15 31.616
-0.661 0.7514506428146743 0.15 31.439
-0.661 0.9460203099484557 0.15 31.224
-0.661 1.1909690082675055 0.15 30.975
-0.661 1.4993411491672606 0.15 30.702
-0.661 1.8875586736353318 0.15 30.413
-0.661 2.0055788343004073 0.15 30.336000000000002
-0.43310061344228545 2.0055788343004073 0.15 31.939
-0.20520122688457088 2.0055788343004073 0.15 33.525
0.022698159673143703 2.0055788343004073 0.15 35.091
0.2505975462308583 2.0055788343004073 0.15 36.638
0.47849693278857286 2.0055788343004073 0.15 38.166000000000004
0.7063963193462874 2.0055788343004073 0.15 39.676
0.7063963193462874 1.8875586736353318 0.15 39.755
0.7063963193462874 1.4993411491672606 0.15 40.044000000000004
0.7063963193462874 1.1909690082675055 0.15 40.312
0.7063963193462874 0.9460203099484557 0.15 40.552
0.7063963193462874 0.7514506428146743 0.15 40.757
0.7063963193462874 0.5968984625894067 0.15 40.922000000000004
0.7063963193462874 0.47413330209828114 0.15 41.049
0.7063963193462874 0.3766174688797221 0.15 41.141
0.7063963193462874 0.2991578892215567 0.15 41.206
0.7063963193462874 0.23762955804920127 0.15 41.25
0.7063963193462874 0.1887558673635332 0.15 41.279
0.7063963193462874 0.14993411491672598 0.15 41.298
0.7063963193462874 0.11909690082675049 0.15 41.31
0.7063963193462874 0.09460203099484557 0.15 41.318
0.7063963193462874 0.07514506428146743 0.15 41.323
0.7063963193462874 0.05968984625894067 0.15 41.326
0.7063963193462874 0.04741333020982809 0.15 41.328
0.7063963193462874 0.037661746887972206 0.15 41.329
0.7063963193462874 0.029915788922155673 0.15 41.33
0.7063963193462874 0.02376295580492013 0.15 41.331
0.7063963193462874 0.01887558673635332 0.15 41.331
0.7063963193462874 0.014993411491672591 0.15 41.331
0.7063963193462874 0.01190969008267505 0.15 41.331
0.7063963193462874 0.009460203099484556 0.15 41.331
0.7063963193462874 0.007514506428146743 0.15 41.331
0.7063963193462874 0.005968984625894067 0.15 41.331
