# site betah h T M DoS(Ef) N Ef
1 2.0 0.002201879465976264 173.8337955590138 22.896672789156497 596.1989535955203 214.480464977882 0.6809845764175142
2 2.0 0.0022089386311281095 174.39110193246 22.896672789156497 596.1989535955203 214.480464977882 0.6809845764175142
3 2.0 0.0022018794656168774 173.83379553064097 22.896672789156497 596.1989535955203 214.480464977882 0.6809845764175142
4 2.0 0.0022089386304936253 174.39110188236876 22.896672789156497 596.1989535955203 214.480464977882 0.6809845764175142
5 2.0 0.002209057703323991 174.40050243390343 22.896672789156497 596.1989535955203 214.480464977882 0.6809845764175142
6 2.0 0.002201973889986778 173.84125013798192 22.896672789156497 596.1989535955203 214.480464977882 0.6809845764175142
7 2.0 0.002209057703474467 174.40050244578322 22.896672789156497 596.1989535955203 214.480464977882 0.6809845764175142
8 2.0 0.002201973890062835 173.8412501439864 22.896672789156497 596.1989535955203 214.480464977882 0.6809845764175142
9 2.0 0.0022099803311896845 174.47334198152998 22.896672789156497 596.1989535955203 214.480464977882 0.6809845764175142
10 2.0 0.0022029205413645224 173.91598629192097 22.896672789156497 596.1989535955203 214.480464977882 0.6809845764175142
11 2.0 0.0022099803311035615 174.47334197473074 22.896672789156497 596.1989535955203 214.480464977882 0.6809845764175142
12 2.0 0.0022029205414284803 173.9159862969704 22.896672789156497 596.1989535955203 214.480464977882 0.6809845764175142
13 2.0 0.002208886584403297 174.386992951129 22.896672789156497 596.1989535955203 214.480464977882 0.6809845764175142
14 2.0 0.0021997326389950164 173.66430804254276 22.896672789156497 596.1989535955203 214.480464977882 0.6809845764175142
15 2.0 0.002208886584082739 174.38699292582157 22.896672789156497 596.1989535955203 214.480464977882 0.6809845764175142
16 2.0 0.002199732638827469 173.66430802931524 22.896672789156497 596.1989535955203 214.480464977882 0.6809845764175142
17 2.0 0.00220924656482615 174.41541265622612 22.896672789156497 596.1989535955203 214.480464977882 0.6809845764175142
18 2.0 0.002200700747156083 173.74073816456993 22.896672789156497 596.1989535955203 214.480464977882 0.6809845764175142
19 2.0 0.0022092465653000826 174.41541269364214 22.896672789156497 596.1989535955203 214.480464977882 0.6809845764175142
20 2.0 0.002200700747139337 173.74073816324784 22.896672789156497 596.1989535955203 214.480464977882 0.6809845764175142
21 2.0 0.0022010133694324095 173.7654190422284 22.896672789156497 596.1989535955203 214.480464977882 0.6809845764175142
22 2.0 0.0022098041675169683 174.4594342267342 22.896672789156497 596.1989535955203 214.480464977882 0.6809845764175142
23 2.0 0.0022010133694954654 173.76541904720656 22.896672789156497 596.1989535955203 214.480464977882 0.6809845764175142
24 2.0 0.0022098041674513034 174.45943422155005 22.896672789156497 596.1989535955203 214.480464977882 0.6809845764175142
25 1.6172223306394715 0.0017851441777249413 174.29070884373493 22.896672789156497 596.1989535955203 214.480464977882 0.6809845764175142
26 1.6172223306394715 0.001785273194119231 174.30330522647466 22.896672789156497 596.1989535955203 214.480464977882 0.6809845764175142
27 0.0 4.3973289749789574e-17 0.0 22.896672789156497 596.1989535955203 214.480464977882 0.6809845764175142
28 0.0 -5.746622039091031e-17 0.0 22.896672789156497 596.1989535955203 214.480464977882 0.6809845764175142
