#   iter   convergence     efermi     ef_shift      lost      mag. mom          efree                etot              entropy
      0  0.38669452E-04   0.6859415   0.0000005   0.0002687   0.0000000     -94171.98127115     -94171.98127115          0.00000000
      1  0.37468473E-04   0.6859415   0.0000004   0.0002620  -0.0000000     -94171.98126654     -94171.98126654          0.00000000
      2  0.36537108E-04   0.6859415   0.0000004   0.0002560   0.0000000     -94171.98126244     -94171.98126244          0.00000000
      3  0.33346862E-04   0.6859415   0.0000004   0.0002081  -0.0000000     -94171.98122957     -94171.98122957          0.00000000
      4  0.32747984E-04   0.6859415   0.0000003   0.0001930   0.0000000     -94171.98121916     -94171.98121916          0.00000000
      5  0.30536991E-04   0.6859415   0.0000002   0.0001247  -0.0000000     -94171.98117234     -94171.98117234          0.00000000
      6  0.29604033E-04   0.6859415   0.0000001   0.0000881  -0.0000000     -94171.98114718     -94171.98114718          0.00000000
      7  0.28005591E-04   0.6859415  -0.0000000  -0.0000086  -0.0000000     -94171.98108084     -94171.98108084          0.00000000
      8  0.27124833E-04   0.6859415  -0.0000001  -0.0000425   0.0000000     -94171.98105758     -94171.98105758          0.00000000
      9  0.25685764E-04   0.6859415  -0.0000002  -0.0001222  -0.0000000     -94171.98100291     -94171.98100291          0.00000000
     10  0.25122023E-04   0.6859415  -0.0000002  -0.0001238   0.0000000     -94171.98100181     -94171.98100181          0.00000000
     11  0.19642886E-04   0.6859415  -0.0000002  -0.0000975   0.0000000     -94171.98101987     -94171.98101987          0.00000000
     12  0.19108715E-04   0.6859415  -0.0000002  -0.0000909  -0.0000000     -94171.98102441     -94171.98102441          0.00000000
     13  0.11625585E-04   0.6859414  -0.0000000  -0.0000086  -0.0000000     -94171.98108097     -94171.98108097          0.00000000
     14  0.57444623E-05   0.6859414   0.0000001   0.0000348   0.0000000     -94171.98111071     -94171.98111071          0.00000000
     15  0.51181797E-05   0.6859414   0.0000001   0.0000364   0.0000000     -94171.98111185     -94171.98111185          0.00000000
     16  0.45437710E-05   0.6859414   0.0000000   0.0000283  -0.0000000     -94171.98110625     -94171.98110625          0.00000000
     17  0.38422563E-05   0.6859414   0.0000000   0.0000061  -0.0000000     -94171.98109107     -94171.98109107          0.00000000
     18  0.35942798E-05   0.6859414   0.0000000   0.0000059  -0.0000000     -94171.98109088     -94171.98109088          0.00000000
     19  0.50411740E-05   0.6859414  -0.0000000  -0.0000030   0.0000000     -94171.98108478     -94171.98108478          0.00000000
     20  0.29985212E-05   0.6859414  -0.0000001  -0.0000416  -0.0000000     -94171.98105830     -94171.98105830          0.00000000
     21  0.25138213E-05   0.6859414  -0.0000001  -0.0000423   0.0000000     -94171.98105779     -94171.98105779          0.00000000
     22  0.16185972E-05   0.6859414  -0.0000001  -0.0000405  -0.0000000     -94171.98105907     -94171.98105907          0.00000000
     23  0.22229609E-05   0.6859414  -0.0000001  -0.0000329   0.0000000     -94171.98106426     -94171.98106426          0.00000000
     24  0.11141829E-05   0.6859414  -0.0000000  -0.0000265  -0.0000000     -94171.98106864     -94171.98106864          0.00000000
