# site betah h T M DoS(Ef) N Ef
sublattice 1 1.5 0.0030946692149911395 325.73975633931013
sublattice 2 1.301930480508007 0.0026878496681118653 325.96049730455564
1 1.5 0.003089985118314495 325.2638485798019 20.27717731526083 588.3594870254022 214.4791394903708 0.6577055123460451
2 1.5 0.0030998355588819277 326.3007442492258 20.27717731526083 588.3594870254022 214.4791394903708 0.6577055123460451
3 1.5 0.003089985118055647 325.26384855255446 20.27717731526083 588.3594870254022 214.4791394903708 0.6577055123460451
4 1.5 0.0030998355587233167 326.3007442325297 20.27717731526083 588.3594870254022 214.4791394903708 0.6577055123460451
5 1.5 0.003099862396543817 326.30356928590624 20.27717731526083 588.3594870254022 214.4791394903708 0.6577055123460451
6 1.5 0.00308999770468143 325.26517346972014 20.27717731526083 588.3594870254022 214.4791394903708 0.6577055123460451
7 1.5 0.003099862396726361 326.3035693051214 20.27717731526083 588.3594870254022 214.4791394903708 0.6577055123460451
8 1.5 0.0030899977040986623 325.26517340837563 20.27717731526083 588.3594870254022 214.4791394903708 0.6577055123460451
9 1.5 0.0030998338242110048 326.3005616510128 20.27717731526083 588.3594870254022 214.4791394903708 0.6577055123460451
10 1.5 0.0030899843007128223 325.2637625158705 20.27717731526083 588.3594870254022 214.4791394903708 0.6577055123460451
11 1.5 0.0030998338241724366 326.30056164695293 20.27717731526083 588.3594870254022 214.4791394903708 0.6577055123460451
12 1.5 0.0030899843005491403 325.26376249864074 20.27717731526083 588.3594870254022 214.4791394903708 0.6577055123460451
13 1.5 0.003099756812807683 326.2924551312841 20.27717731526083 588.3594870254022 214.4791394903708 0.6577055123460451
14 1.5 0.0030890863228931536 325.169237878796 20.27717731526083 588.3594870254022 214.4791394903708 0.6577055123460451
15 1.5 0.003099756812821191 326.292455132706 20.27717731526083 588.3594870254022 214.4791394903708 0.6577055123460451
16 1.5 0.0030890863228471874 325.1692378739576 20.27717731526083 588.3594870254022 214.4791394903708 0.6577055123460451
17 1.5 0.003099756700739704 326.29244333453136 20.27717731526083 588.3594870254022 214.4791394903708 0.6577055123460451
18 1.5 0.003089101212992721 325.1708052685803 20.27717731526083 588.3594870254022 214.4791394903708 0.6577055123460451
19 1.5 0.0030997567003514703 326.2924432936643 20.27717731526083 588.3594870254022 214.4791394903708 0.6577055123460451
20 1.5 0.0030891012127869026 325.1708052469151 20.27717731526083 588.3594870254022 214.4791394903708 0.6577055123460451
